Date,Time,DAYAHEADPRICE
2022-01-01,00:00,50.05
2022-01-01,00:15,50.05
2022-01-01,00:30,50.05
2022-01-01,00:45,50.05
2022-01-01,01:00,41.33
2022-01-01,01:15,41.33
2022-01-01,01:30,41.33
2022-01-01,01:45,41.33
2022-01-01,02:00,43.22
2022-01-01,02:15,43.22
2022-01-01,02:30,43.22
2022-01-01,02:45,43.22
2022-01-01,03:00,45.46
2022-01-01,03:15,45.46
2022-01-01,03:30,45.46
2022-01-01,03:45,45.46
2022-01-01,04:00,37.67
2022-01-01,04:15,37.67
2022-01-01,04:30,37.67
2022-01-01,04:45,37.67
2022-01-01,05:00,39.7
2022-01-01,05:15,39.7
2022-01-01,05:30,39.7
2022-01-01,05:45,39.7
2022-01-01,06:00,40.59
2022-01-01,06:15,40.59
2022-01-01,06:30,40.59
2022-01-01,06:45,40.59
2022-01-01,07:00,43.26
2022-01-01,07:15,43.26
2022-01-01,07:30,43.26
2022-01-01,07:45,43.26
2022-01-01,08:00,49.66
2022-01-01,08:15,49.66
2022-01-01,08:30,49.66
2022-01-01,08:45,49.66
2022-01-01,09:00,70.05
2022-01-01,09:15,70.05
2022-01-01,09:30,70.05
2022-01-01,09:45,70.05
2022-01-01,10:00,76.79
2022-01-01,10:15,76.79
2022-01-01,10:30,76.79
2022-01-01,10:45,76.79
2022-01-01,11:00,84.1
2022-01-01,11:15,84.1
2022-01-01,11:30,84.1
2022-01-01,11:45,84.1
2022-01-01,12:00,94.74
2022-01-01,12:15,94.74
2022-01-01,12:30,94.74
2022-01-01,12:45,94.74
2022-01-01,13:00,96.8
2022-01-01,13:15,96.8
2022-01-01,13:30,96.8
2022-01-01,13:45,96.8
2022-01-01,14:00,97.17
2022-01-01,14:15,97.17
2022-01-01,14:30,97.17
2022-01-01,14:45,97.17
2022-01-01,15:00,101
2022-01-01,15:15,101
2022-01-01,15:30,101
2022-01-01,15:45,101
2022-01-01,16:00,126.6
2022-01-01,16:15,126.6
2022-01-01,16:30,126.6
2022-01-01,16:45,126.6
2022-01-01,17:00,149.97
2022-01-01,17:15,149.97
2022-01-01,17:30,149.97
2022-01-01,17:45,149.97
2022-01-01,18:00,146.33
2022-01-01,18:15,146.33
2022-01-01,18:30,146.33
2022-01-01,18:45,146.33
2022-01-01,19:00,140.28
2022-01-01,19:15,140.28
2022-01-01,19:30,140.28
2022-01-01,19:45,140.28
2022-01-01,20:00,121.88
2022-01-01,20:15,121.88
2022-01-01,20:30,121.88
2022-01-01,20:45,121.88
2022-01-01,21:00,102.61
2022-01-01,21:15,102.61
2022-01-01,21:30,102.61
2022-01-01,21:45,102.61
2022-01-01,22:00,97.46
2022-01-01,22:15,97.46
2022-01-01,22:30,97.46
2022-01-01,22:45,97.46
2022-01-01,23:00,85.16
2022-01-01,23:15,85.16
2022-01-01,23:30,85.16
2022-01-01,23:45,85.16
2022-01-02,00:00,57.08
2022-01-02,00:15,57.08
2022-01-02,00:30,57.08
2022-01-02,00:45,57.08
2022-01-02,01:00,52.59
2022-01-02,01:15,52.59
2022-01-02,01:30,52.59
2022-01-02,01:45,52.59
2022-01-02,02:00,48.97
2022-01-02,02:15,48.97
2022-01-02,02:30,48.97
2022-01-02,02:45,48.97
2022-01-02,03:00,34.94
2022-01-02,03:15,34.94
2022-01-02,03:30,34.94
2022-01-02,03:45,34.94
2022-01-02,04:00,29.56
2022-01-02,04:15,29.56
2022-01-02,04:30,29.56
2022-01-02,04:45,29.56
2022-01-02,05:00,33.97
2022-01-02,05:15,33.97
2022-01-02,05:30,33.97
2022-01-02,05:45,33.97
2022-01-02,06:00,34.52
2022-01-02,06:15,34.52
2022-01-02,06:30,34.52
2022-01-02,06:45,34.52
2022-01-02,07:00,41.8
2022-01-02,07:15,41.8
2022-01-02,07:30,41.8
2022-01-02,07:45,41.8
2022-01-02,08:00,48.95
2022-01-02,08:15,48.95
2022-01-02,08:30,48.95
2022-01-02,08:45,48.95
2022-01-02,09:00,60.01
2022-01-02,09:15,60.01
2022-01-02,09:30,60.01
2022-01-02,09:45,60.01
2022-01-02,10:00,70.09
2022-01-02,10:15,70.09
2022-01-02,10:30,70.09
2022-01-02,10:45,70.09
2022-01-02,11:00,66.26
2022-01-02,11:15,66.26
2022-01-02,11:30,66.26
2022-01-02,11:45,66.26
2022-01-02,12:00,64.54
2022-01-02,12:15,64.54
2022-01-02,12:30,64.54
2022-01-02,12:45,64.54
2022-01-02,13:00,46.96
2022-01-02,13:15,46.96
2022-01-02,13:30,46.96
2022-01-02,13:45,46.96
2022-01-02,14:00,40.01
2022-01-02,14:15,40.01
2022-01-02,14:30,40.01
2022-01-02,14:45,40.01
2022-01-02,15:00,29.11
2022-01-02,15:15,29.11
2022-01-02,15:30,29.11
2022-01-02,15:45,29.11
2022-01-02,16:00,32.76
