Date,Time,PVOUT
01.01.2021,00:00:00,0.0
01.01.2021,00:10:00,0.0
01.01.2021,00:20:00,0.0
01.01.2021,00:30:00,0.0
01.01.2021,00:40:00,0.0
01.01.2021,00:50:00,0.0
01.01.2021,01:00:00,0.0
01.01.2021,01:10:00,0.0
01.01.2021,01:20:00,0.0
01.01.2021,01:30:00,0.0
01.01.2021,01:40:00,0.0
01.01.2021,01:50:00,0.0
01.01.2021,02:00:00,0.0
01.01.2021,02:10:00,0.0
01.01.2021,02:20:00,0.0
01.01.2021,02:30:00,0.0
01.01.2021,02:40:00,0.0
01.01.2021,02:50:00,0.0
01.01.2021,03:00:00,0.0
01.01.2021,03:10:00,0.007
01.01.2021,03:20:00,0.009
01.01.2021,03:30:00,0.013
01.01.2021,03:40:00,0.027
01.01.2021,03:50:00,0.045
01.01.2021,04:00:00,0.067
01.01.2021,04:10:00,0.092
01.01.2021,04:20:00,0.12
01.01.2021,04:30:00,0.153
01.01.2021,04:40:00,0.191
01.01.2021,04:50:00,0.23
01.01.2021,05:00:00,0.273
01.01.2021,05:10:00,0.319
01.01.2021,05:20:00,0.365
01.01.2021,05:30:00,0.406
01.01.2021,05:40:00,0.44
01.01.2021,05:50:00,0.474
01.01.2021,06:00:00,0.505
01.01.2021,06:10:00,0.532
01.01.2021,06:20:00,0.56
01.01.2021,06:30:00,0.587
01.01.2021,06:40:00,0.614
01.01.2021,06:50:00,0.641
01.01.2021,07:00:00,0.666
01.01.2021,07:10:00,0.688
01.01.2021,07:20:00,0.71
01.01.2021,07:30:00,0.733
01.01.2021,07:40:00,0.758
01.01.2021,07:50:00,0.781
01.01.2021,08:00:00,0.805
01.01.2021,08:10:00,0.83
01.01.2021,08:20:00,0.854
01.01.2021,08:30:00,0.869
01.01.2021,08:40:00,0.877
01.01.2021,08:50:00,0.885
01.01.2021,09:00:00,0.889
01.01.2021,09:10:00,0.889
01.01.2021,09:20:00,0.888
01.01.2021,09:30:00,0.891
01.01.2021,09:40:00,0.897
01.01.2021,09:50:00,0.903
01.01.2021,10:00:00,0.908
01.01.2021,10:10:00,0.911
01.01.2021,10:20:00,0.915
01.01.2021,10:30:00,0.913
01.01.2021,10:40:00,0.904
01.01.2021,10:50:00,0.895
01.01.2021,11:00:00,0.885
01.01.2021,11:10:00,0.873
01.01.2021,11:20:00,0.861
01.01.2021,11:30:00,0.841
01.01.2021,11:40:00,0.812
01.01.2021,11:50:00,0.783
01.01.2021,12:00:00,0.75
01.01.2021,12:10:00,0.713
01.01.2021,12:20:00,0.675
01.01.2021,12:30:00,0.642
01.01.2021,12:40:00,0.613
01.01.2021,12:50:00,0.584
01.01.2021,13:00:00,0.554
01.01.2021,13:10:00,0.524
01.01.2021,13:20:00,0.493
01.01.2021,13:30:00,0.455
01.01.2021,13:40:00,0.408
01.01.2021,13:50:00,0.362
01.01.2021,14:00:00,0.315
01.01.2021,14:10:00,0.269
01.01.2021,14:20:00,0.223
01.01.2021,14:30:00,0.179
01.01.2021,14:40:00,0.139
01.01.2021,14:50:00,0.102
01.01.2021,15:00:00,0.071
01.01.2021,15:10:00,0.049
01.01.2021,15:20:00,0.03
01.01.2021,15:30:00,0.019
01.01.2021,15:40:00,0.011
01.01.2021,15:50:00,0.002
01.01.2021,16:00:00,0.0
01.01.2021,16:10:00,0.0
01.01.2021,16:20:00,0.0
01.01.2021,16:30:00,0.0
01.01.2021,16:40:00,0.0
01.01.2021,16:50:00,0.0
01.01.2021,17:00:00,0.0
01.01.2021,17:10:00,0.0
01.01.2021,17:20:00,0.0
01.01.2021,17:30:00,0.0
01.01.2021,17:40:00,0.0
01.01.2021,17:50:00,0.0
01.01.2021,18:00:00,0.0
01.01.2021,18:10:00,0.0
01.01.2021,18:20:00,0.0
01.01.2021,18:30:00,0.0
01.01.2021,18:40:00,0.0
01.01.2021,18:50:00,0.0
01.01.2021,19:00:00,0.0
01.01.2021,19:10:00,0.0
01.01.2021,19:20:00,0.0
01.01.2021,19:30:00,0.0
01.01.2021,19:40:00,0.0
01.01.2021,19:50:00,0.0
01.01.2021,20:00:00,0.0
01.01.2021,20:10:00,0.0
01.01.2021,20:20:00,0.0
01.01.2021,20:30:00,0.0
01.01.2021,20:40:00,0.0
01.01.2021,20:50:00,0.0
01.01.2021,21:00:00,0.0
01.01.2021,21:10:00,0.0
01.01.2021,21:20:00,0.0
01.01.2021,21:30:00,0.0
01.01.2021,21:40:00,0.0
01.01.2021,21:50:00,0.0
01.01.2021,22:00:00,0.0
01.01.2021,22:10:00,0.0
01.01.2021,22:20:00,0.0
01.01.2021,22:30:00,0.0
01.01.2021,22:40:00,0.0
01.01.2021,22:50:00,0.0
01.01.2021,23:00:00,0.0
01.01.2021,23:10:00,0.0
01.01.2021,23:20:00,0.0
01.01.2021,23:30:00,0.0
01.01.2021,23:40:00,0.0
01.01.2021,23:50:00,0.0
02.01.2021,00:00:00,0.0
02.01.2021,00:10:00,0.0
02.01.2021,00:20:00,0.0
02.01.2021,00:30:00,0.0
02.01.2021,00:40:00,0.0
02.01.2021,00:50:00,0.0
02.01.2021,01:00:00,0.0
02.01.2021,01:10:00,0.0
02.01.2021,01:20:00,0.0
02.01.2021,01:30:00,0.0
02.01.2021,01:40:00,0.0
02.01.2021,01:50:00,0.0
02.01.2021,02:00:00,0.0
02.01.2021,02:10:00,0.0
02.01.2021,02:20:00,0.0
02.01.2021,02:30:00,0.0
02.01.2021,02:40:00,0.0
02.01.2021,02:50:00,0.0
02.01.2021,03:00:00,0.0
02.01.2021,03:10:00,0.002
02.01.2021,03:20:00,0.005
02.01.2021,03:30:00,0.01
02.01.2021,03:40:00,0.022
02.01.2021,03:50:00,0.035
02.01.2021,04:00:00,0.055
02.01.2021,04:10:00,0.081
02.01.2021,04:20:00,0.113
02.01.2021,04:30:00,0.146
02.01.2021,04:40:00,0.178
02.01.2021,04:50:00,0.211
02.01.2021,05:00:00,0.243
02.01.2021,05:10:00,0.274
02.01.2021,05:20:00,0.304
02.01.2021,05:30:00,0.337
02.01.2021,05:40:00,0.371
02.01.2021,05:50:00,0.405
02.01.2021,06:00:00,0.439
02.01.2021,06:10:00,0.474
02.01.2021,06:20:00,0.508
02.01.2021,06:30:00,0.539
02.01.2021,06:40:00,0.566
02.01.2021,06:50:00,0.593
02.01.2021,07:00:00,0.62
02.01.2021,07:10:00,0.645
02.01.2021,07:20:00,0.669
02.01.2021,07:30:00,0.69
02.01.2021,07:40:00,0.706
02.01.2021,07:50:00,0.723
02.01.2021,08:00:00,0.735
02.01.2021,08:10:00,0.744
02.01.2021,08:20:00,0.753
02.01.2021,08:30:00,0.767
02.01.2021,08:40:00,0.788
02.01.2021,08:50:00,0.808
02.01.2021,09:00:00,0.829
02.01.2021,09:10:00,0.851
02.01.2021,09:20:00,0.872
02.01.2021,09:30:00,0.885
02.01.2021,09:40:00,0.89
02.01.2021,09:50:00,0.895
02.01.2021,10:00:00,0.898
02.01.2021,10:10:00,0.899
02.01.2021,10:20:00,0.899
02.01.2021,10:30:00,0.895
02.01.2021,10:40:00,0.884
02.01.2021,10:50:00,0.875
02.01.2021,11:00:00,0.862
02.01.2021,11:10:00,0.847
02.01.2021,11:20:00,0.831
02.01.2021,11:30:00,0.814
02.01.2021,11:40:00,0.796
02.01.2021,11:50:00,0.777
02.01.2021,12:00:00,0.757
02.01.2021,12:10:00,0.736
02.01.2021,12:20:00,0.715
02.01.2021,12:30:00,0.686
02.01.2021,12:40:00,0.648
02.01.2021,12:50:00,0.609
02.01.2021,13:00:00,0.567
02.01.2021,13:10:00,0.524
02.01.2021,13:20:00,0.479
02.01.2021,13:30:00,0.435
02.01.2021,13:40:00,0.393
02.01.2021,13:50:00,0.35
02.01.2021,14:00:00,0.308
02.01.2021,14:10:00,0.266
02.01.2021,14:20:00,0.224
02.01.2021,14:30:00,0.184
02.01.2021,14:40:00,0.147
02.01.2021,14:50:00,0.111
02.01.2021,15:00:00,0.081
02.01.2021,15:10:00,0.058
02.01.2021,15:20:00,0.04
02.01.2021,15:30:00,0.025
02.01.2021,15:40:00,0.014
02.01.2021,15:50:00,0.003
02.01.2021,16:00:00,0.0
02.01.2021,16:10:00,0.0
02.01.2021,16:20:00,0.0
02.01.2021,16:30:00,0.0
02.01.2021,16:40:00,0.0
02.01.2021,16:50:00,0.0
02.01.2021,17:00:00,0.0
02.01.2021,17:10:00,0.0
02.01.2021,17:20:00,0.0
02.01.2021,17:30:00,0.0
02.01.2021,17:40:00,0.0
02.01.2021,17:50:00,0.0
02.01.2021,18:00:00,0.0
02.01.2021,18:10:00,0.0
02.01.2021,18:20:00,0.0
02.01.2021,18:30:00,0.0
02.01.2021,18:40:00,0.0
02.01.2021,18:50:00,0.0
02.01.2021,19:00:00,0.0
02.01.2021,19:10:00,0.0
02.01.2021,19:20:00,0.0
02.01.2021,19:30:00,0.0
02.01.2021,19:40:00,0.0
02.01.2021,19:50:00,0.0
02.01.2021,20:00:00,0.0
02.01.2021,20:10:00,0.0
02.01.2021,20:20:00,0.0
02.01.2021,20:30:00,0.0
02.01.2021,20:40:00,0.0
02.01.2021,20:50:00,0.0
02.01.2021,21:00:00,0.0
02.01.2021,21:10:00,0.0
02.01.2021,21:20:00,0.0
